"SID","UID","Latitude","Longitude","CollectionDate","VolumeFilteredML","DeploymentDuration","ClientSampleID","EnvironmentType","TICI","TICIVersion","TICINoSeqs","TICIQuantile","Report","Region","District"
39940,"100065",-38.105189,178.351558,"2023-05-05","1200","","Waihi","River/Stream",104.03,"Riverine V1",333,0.54,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/e4dfd308760becb8.html","Gisborne","Gisborne"
39941,"100066",-38.105189,178.351558,"2023-05-05","1200","","Waihi","River/Stream",104.08,"Riverine V1",293,0.54,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/e4dfd308760becb8.html","Gisborne","Gisborne"
39938,"100067",-38.109395,178.340397,"2023-05-05","1200","","Mangamate","River/Stream",99.62,"Riverine V1",286,0.5,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ac5939cc405da272.html","Gisborne","Gisborne"
39939,"100068",-38.109395,178.340397,"2023-05-05","1200","","Mangamate","River/Stream",98.53,"Riverine V1",295,0.48,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ac5939cc405da272.html","Gisborne","Gisborne"
39944,"100069",-38.110184,178.338169,"2023-05-05","1200","","Waitekeo","River/Stream",106.87,"Riverine V1",289,0.58,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/d57968f1859bb644.html","Gisborne","Gisborne"
39945,"100070",-38.110184,178.338169,"2023-05-05","1200","","Waitekeo","River/Stream",109.76,"Riverine V1",263,0.64,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/d57968f1859bb644.html","Gisborne","Gisborne"
39936,"100073",-38.121308,178.321375,"2023-05-05","720","","Waikoko","River/Stream",103.71,"Riverine V1",186,0.54,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/28c89fa436a0bd1d.html","Gisborne","Gisborne"
39937,"100074",-38.121308,178.321375,"2023-05-05","720","","Waikoko","River/Stream",103.36,"Riverine V1",194,0.54,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/28c89fa436a0bd1d.html","Gisborne","Gisborne"
53561,"100322",-43.62247,169.60283,"2023-08-11","1000 each","","Un-named creek East Road","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/c0e96b350df0e793.html","West Coast","Westland"
53562,"100323",-43.62077,169.5995,"2023-08-10","1000","","5um","Pond",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9a32b63559456044.html","West Coast","Westland"
53563,"100324",-43.62077,169.5995,"2023-08-10","500","","1.2um","Pond",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9a32b63559456044.html","West Coast","Westland"
53564,"100325",-43.61786,169.59563,"2023-08-10","1000","","un-named creek yabby corner","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/391b88c964ac5448.html","West Coast","Westland"
53565,"100326",-43.61786,169.59563,"2023-08-10","1000","","un-named creek yabby corner","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/391b88c964ac5448.html","West Coast","Westland"
62670,"100698",-41.300591,174.826647,"2024-02-11","","","Spider web","Other",0,"",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ee373987963c50bc.html","Wellington","Wellington"
66132,"100717",-39.434356,176.848985,"2024-03-22","350","","Onehunga Pump Station","River/Stream",0,"NC - Low seq count",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8c740c631a94386b.html","Hawke's Bay","Napier"
66133,"100718",-39.434356,176.848985,"2024-03-22","200","","Onehunga Pump Station","River/Stream",0,"NC - Low seq count",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8c740c631a94386b.html","Hawke's Bay","Napier"
69670,"100831",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
69671,"100832",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
69672,"100833",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
69673,"100834",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
69674,"100835",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
69675,"100836",-41.2822986,174.7652624,"2024-04-19","1000","","Botanic Garden water","",0,"NC - Environment type",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/00a1c6240fdeda37.html","Wellington","Wellington"
79404,"101231",-42.750481,171.039491,"2024-06-07","","","McKay Creek Larave","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/54c02fa5687d7542.html","West Coast","Westland"
11067,"400026",-37.378581,175.687498,"2021-12-09","1000","","Paeroa upper","River/Stream",87.19,"Riverine V1",318,0.24,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8174cf2cbef81b94.html","Waikato","Hauraki"
11068,"400027",-37.37859268,175.6839,"2021-12-09","1000","","Paeroa lower","",93.96,"Riverine V1",194,0.38,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9df185c90da21454.html","Waikato","Hauraki"
42444,"400160",-40.954205,175.638943,"2022-11-22","","24","M Res 3","River/Stream",93.7,"Riverine V1",327,0.38,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/47b7dd3d9b789881.html","Wellington","Masterton"
42445,"400167",-40.954205,175.638943,"2023-05-04","","26","M Res 4","River/Stream",91.25,"Riverine V1",369,0.32,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/a9ad9995d000d6a7.html","Wellington","Masterton"
32868,"400172",-41.358037,173.259028,"2023-03-02","","46","Roding at Caretakers","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/1c1d4773633735a1.html","Nelson","Nelson"
32869,"400173",-41.358037,173.259028,"2023-03-02","","46","Roding at Caretakers","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/1c1d4773633735a1.html","Nelson","Nelson"
15241,"400175",-44.6289,168.4756,"2022-03-24","1000","21","25 Mile Creek","River/Stream",128.51,"Riverine V1",268,1,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/041649e40ce6604a.html","Otago","Queenstown-Lakes"
15242,"400176",-44.6289,168.4756,"2022-03-24","1000","21","25 Mile Creek","River/Stream",126.53,"Riverine V1",211,0.97,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/041649e40ce6604a.html","Otago","Queenstown-Lakes"
15231,"400177",-44.8586,168.3933,"2022-03-26","1000","24","Bucklerburn 3","River/Stream",121.81,"Riverine V1",390,0.89,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2eed8b0f1fbbfec7.html","Otago","Queenstown-Lakes"
15233,"400178",-44.7974,168.392,"2022-03-26","1000","24","McConachy's 2","River/Stream",99.53,"Riverine V1",390,0.5,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/178720ae7344c134.html","Otago","Queenstown-Lakes"
15234,"400179",-44.7974,168.392,"2022-03-26","1000","24","McConachy's 3","River/Stream",98.56,"Riverine V1",351,0.48,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/178720ae7344c134.html","Otago","Queenstown-Lakes"
13939,"400180",-44.7287,168.4564,"2022-03-05","","24","McDougall's Creek 2","River/Stream",122.24,"Riverine V1",274,0.89,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2a1dc2107189b10c.html","Otago","Queenstown-Lakes"
13940,"400181",-44.7287,168.4564,"2022-03-05","","24","McDougall's Creek 3","River/Stream",121.87,"Riverine V1",225,0.89,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2a1dc2107189b10c.html","Otago","Queenstown-Lakes"
15235,"400182",-44.6353,168.4742,"2022-03-24","1000","21","Little Devil 1","River/Stream",125.63,"Riverine V1",278,0.95,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/39d2a27e86c4ec4d.html","Otago","Queenstown-Lakes"
15236,"400183",-44.6353,168.4742,"2022-03-24","1000","21","Little Devil 2","River/Stream",125.57,"Riverine V1",257,0.95,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/39d2a27e86c4ec4d.html","Otago","Queenstown-Lakes"
15237,"400184",-44.6353,168.4742,"2022-03-24","1000","21","Little Devil 3","River/Stream",125.19,"Riverine V1",254,0.94,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/39d2a27e86c4ec4d.html","Otago","Queenstown-Lakes"
13934,"400185",-44.6967,168.4655,"2022-03-05","","24","Muddy Creek 3","River/Stream",119.12,"Riverine V1",210,0.84,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6ccd2956a0aedbb9.html","Otago","Queenstown-Lakes"
13932,"400186",-44.6967,168.4655,"2022-03-05","","24","Muddy Creek 1","River/Stream",119.69,"Riverine V1",147,0.85,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6ccd2956a0aedbb9.html","Otago","Queenstown-Lakes"
13938,"400187",-44.7287,168.4564,"2022-03-05","","24","McDougall's Creek 1","River/Stream",122.36,"Riverine V1",284,0.89,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2a1dc2107189b10c.html","Otago","Queenstown-Lakes"
11698,"400188",-44.8005,168.3984,"2022-01-06","","22","Precipice 1","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/13885dd8bf43181e.html","Otago","Queenstown-Lakes"
15238,"400189",-44.629,168.4756,"2022-03-24","1000","21","Big Devil 1","River/Stream",127.27,"Riverine V1",181,0.99,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cd3a9d4f2cc8a10b.html","Otago","Queenstown-Lakes"
15239,"400190",-44.629,168.4756,"2022-03-24","1000","21","Big Devil 2","River/Stream",126.57,"Riverine V1",260,0.97,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cd3a9d4f2cc8a10b.html","Otago","Queenstown-Lakes"
13933,"400191",-44.6967,168.4655,"2022-03-05","","24","Muddy Creek 2","River/Stream",120.97,"Riverine V1",172,0.87,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6ccd2956a0aedbb9.html","Otago","Queenstown-Lakes"
13935,"400192",-44.7223,168.4611,"2022-03-05","","24","Invincible Creek 1","River/Stream",126.35,"Riverine V1",296,0.96,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6e91d7d58ff4e411.html","Otago","Queenstown-Lakes"
13937,"400193",-44.7223,168.4611,"2022-03-05","","24","Invincible Creek 3","River/Stream",125.51,"Riverine V1",249,0.95,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6e91d7d58ff4e411.html","Otago","Queenstown-Lakes"
13929,"400194",-44.6824,168.4667,"2022-03-05","","24","Bridges Creek 1","River/Stream",124.38,"Riverine V1",273,0.92,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4f0215f2494365f3.html","Otago","Queenstown-Lakes"
11699,"400195",-44.8005,168.3984,"2022-01-06","","22","Precipice 2","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/13885dd8bf43181e.html","Otago","Queenstown-Lakes"
11700,"400196",-44.8005,168.3984,"2022-01-06","","22","Precipice 3","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/13885dd8bf43181e.html","Otago","Queenstown-Lakes"
13930,"400197",-44.6824,168.4667,"2022-03-05","","24","Bridges Creek 2","River/Stream",126.74,"Riverine V1",254,0.97,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4f0215f2494365f3.html","Otago","Queenstown-Lakes"
13936,"400198",-44.7223,168.4611,"2022-03-05","","24","Invincible Creek 2","River/Stream",127.87,"Riverine V1",233,0.99,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6e91d7d58ff4e411.html","Otago","Queenstown-Lakes"
13927,"400199",-44.6778,168.4667,"2022-03-05","","24","Arthurs Creek 2","River/Stream",126.38,"Riverine V1",256,0.97,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c948440c0087e3.html","Otago","Queenstown-Lakes"
11701,"400200",-44.7845,168.4159,"2022-01-06","","24","Temple Burn 1","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ae8681af42b06818.html","Otago","Queenstown-Lakes"
11702,"400201",-44.7845,168.4159,"2022-01-06","","24","Temple Burn 3","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ae8681af42b06818.html","Otago","Queenstown-Lakes"
11703,"400202",-44.7845,168.4159,"2022-01-06","","24","Temple Burn 2","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ae8681af42b06818.html","Otago","Queenstown-Lakes"
11705,"400203",-44.7656,168.4278,"2022-01-06","","24","Oxburn 2","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cec99deaa7047b50.html","Otago","Queenstown-Lakes"
11704,"400204",-44.7656,168.4278,"2022-01-06","","24","Oxburn 1","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cec99deaa7047b50.html","Otago","Queenstown-Lakes"
11706,"400205",-44.7656,168.4278,"2022-01-06","","24","Oxburn 3","",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cec99deaa7047b50.html","Otago","Queenstown-Lakes"
13428,"400206",-41.76435,171.46559,"2022-02-22","","25","Williams Upper","River/Stream",107.6,"Riverine V1",331,0.59,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4d92d5d336fa4549.html","West Coast","Buller"
10820,"400207",-41.195489,173.056257,"2021-11-18","","","OLL001","River/Stream",90.65,"Riverine V1",226,0.31,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ac24c6c3e39b7c6f.html","Tasman","Tasman"
10821,"400208",-41.195489,173.056257,"2021-11-18","","","OLL001","River/Stream",88.84,"Riverine V1",325,0.27,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ac24c6c3e39b7c6f.html","Tasman","Tasman"
10822,"400209",-41.195489,173.056257,"2021-11-18","","","OLL001","River/Stream",89.14,"Riverine V1",269,0.28,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/ac24c6c3e39b7c6f.html","Tasman","Tasman"
13926,"400210",-44.6778,168.4667,"2022-03-05","","24","Arthurs Creek 1","River/Stream",126.63,"Riverine V1",253,0.97,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c948440c0087e3.html","Otago","Queenstown-Lakes"
13931,"400211",-44.6824,168.4667,"2022-03-05","","24","Bridges Creek 3","River/Stream",123.29,"Riverine V1",270,0.9,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4f0215f2494365f3.html","Otago","Queenstown-Lakes"
13928,"400212",-44.6778,168.4667,"2022-03-05","","24","Arthurs Creek 3","River/Stream",125.2,"Riverine V1",312,0.94,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c948440c0087e3.html","Otago","Queenstown-Lakes"
13427,"400225",-41.76473,171.46523,"2022-02-22","","25","Williams Lower","River/Stream",104.55,"Riverine V1",337,0.55,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/a71cd48008c1607c.html","West Coast","Buller"
21953,"400244",-36.022371,174.1831,"2022-06-30","","26","Ararua","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/08f59c53aa08de18.html","Northland","Kaipara"
13067,"400252",-41.106773,175.304715,"2022-01-13","","","","River/Stream",119.56,"Riverine V1",357,0.85,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/fa051dd1455fc803.html","Wellington","South Wairarapa"
10991,"400254",-41.0842229,175.2165616,"2021-12-01","","","","River/Stream",123.7,"Riverine V1",347,0.9,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/90e24cbb33b831dd.html","Wellington","Upper Hutt"
11066,"400255",-41.0623919,175.227822,"2021-12-08","","24","Dec Sighting","River/Stream",121.5,"Riverine V1",357,0.88,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4f11191454c915c3.html","Wellington","Upper Hutt"
10796,"400256",-41.238389,173.787253,"2021-11-28","","","Kaiuma Stream Tent Peg","River/Stream",113.17,"Riverine V1",407,0.73,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9ada8e61bfb7c991.html","Marlborough","Marlborough"
10800,"400257",-41.233092,173.79895,"2021-11-28","","24","Climo Stream Drogue","",129.76,"Riverine V1",223,1,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/4cbe5d7887fd331e.html","Marlborough","Marlborough"
10799,"400259",-41.233092,173.79895,"2021-11-28","","24","Climo Stream Tent Peg","River/Stream",128.4,"Riverine V1",289,1,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8aadeb26cbca4a6f.html","Marlborough","Marlborough"
10797,"400260",-41.238389,173.787253,"2021-11-28","","","Kaiuma Stream Drogue","River/Stream",110.67,"Riverine V1",339,0.66,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/f0b63fadc06193e8.html","Marlborough","Marlborough"
23805,"400269",-38.06271697,174.98142641,"2022-07-18","","25","","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/b77d0cccb4a515ed.html","Waikato","Otorohanga"
23806,"400270",-38.07640872,174.97480766,"2022-07-18","","25.45","","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/304ba873baa3470d.html","Waikato","Otorohanga"
11454,"400277",-44.679267,169.1884,"2021-12-18","","24","Tuna Project","",105.72,"Riverine V1",191,0.57,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/91e9f6bbdf532113.html","Otago","Queenstown-Lakes"
11455,"400279",-44.674711,169.206022,"2021-12-18","","24","Tuna Project","River/Stream",94.78,"Riverine V1",367,0.39,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/a8cc4c92c5b0a7e0.html","Otago","Queenstown-Lakes"
28225,"400282",-45.926772,170.034811,"2022-11-10","","26","Waipouri_trib","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/72c43a93b19be124.html","Otago","Dunedin"
28220,"400283",-45.918251,170.08042,"2022-11-10","","27","MillStream_01","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6adf1814af2b8368.html","Otago","Dunedin"
28221,"400286",-45.918251,170.08042,"2022-11-10","","27","MillStream_01","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6adf1814af2b8368.html","Otago","Dunedin"
28227,"400291",-45.926951,170.03451,"2022-11-10","","25","Waipouri_main","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/5743244d90e0f3fa.html","Otago","Dunedin"
22337,"400321",-40.825877,175.204478,"2022-07-05","","21.5","Otaki River","River/Stream",124.3,"Riverine V1",300,0.92,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/7d4ec124ffa6e1d7.html","Wellington","Kapiti Coast"
19328,"400329",-46.5726778,169.1560286,"2022-05-04","","24","18C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/732a4ab67ca77097.html","Southland","Southland"
19309,"400330",-46.496838,169.162672,"2022-03-24","","25","10B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/3612966321e3af92.html","Southland","Southland"
19306,"400332",-46.521766,169.13424,"2022-03-24","","24","9B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/155ecbf5ad41388c.html","Southland","Southland"
19320,"400333",-46.5216982,169.1336179,"2022-03-24","","24","14A","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/092d7a3b8f913795.html","Southland","Southland"
19303,"400341",-46.525115,169.04388,"2022-03-24","","23","4B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8377e9909b50591b.html","Southland","Southland"
19339,"400342",-46.6009504,169.1243844,"2022-05-04","","23","22B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/09f624356519ea2c.html","Southland","Southland"
19312,"400344",-46.517929,169.179752,"2022-03-24","","25","11B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/5a610b8d4b206f74.html","Southland","Southland"
19323,"400345",-46.5650303,169.1347769,"2022-05-04","","23","17A","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2776740a91a4ec89.html","Southland","Southland"
19313,"400346",-46.517929,169.179752,"2022-03-24","","25","11C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/5a610b8d4b206f74.html","Southland","Southland"
19322,"400347",-46.5216982,169.1336179,"2022-03-24","","24","14C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/092d7a3b8f913795.html","Southland","Southland"
19295,"400348",-46.500707,169.020843,"2022-03-24","","23","1B","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/f1defe126bb3af9c.html","Southland","Southland"
19301,"400349",-46.5245055,169.0421395,"2022-03-24","","23","3C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/b2956c4a276a838c.html","Southland","Southland"
19316,"400350",-46.512387,169.153881,"2022-03-24","","24","13C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/cb42a30b54f1e159.html","Southland","Southland"
19329,"400351",-46.5732335,169.1458091,"2022-05-04","","24","19A","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/6ddc1b0b232dddbf.html","Southland","Southland"
19305,"400352",-46.521766,169.13424,"2022-03-24","","24","9A","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/155ecbf5ad41388c.html","Southland","Southland"
19304,"400353",-46.525115,169.04388,"2022-03-24","","23","4C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/8377e9909b50591b.html","Southland","Southland"
19325,"400354",-46.5650303,169.1347769,"2022-05-04","","23","17C","River/Stream",0,"NC - Basic",0,0,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/2776740a91a4ec89.html","Southland","Southland"
